image,z1,z2,gt1,gt2,pred1,pred2,error1,error2,car_S1_pose_x,car_S1_pose_y,car_S1_pose_angle,self_pose_x,self_pose_y,self_pose_angle,car_S3_pose_x,car_S3_pose_y,car_S3_pose_angle
image_1755774969287343868.png,82.0,59.0,1348.8889158354434,1244.0505675680097,1042.075776136496,1434.2405831279295,306.81313969894745,190.19001555991986,716.401611328125,-658.5384521484375,-95.34928894042967,265.7539367675781,612.8458251953125,-120.74342346191406,-396.330322265625,-440.3902587890625,-178.14784240722656
image_1755774969322489882.png,85.0,61.0,1356.4560535804494,1214.3272137386375,990.9238447897874,1400.1392955634572,365.532208790662,185.81208182481964,716.622314453125,-681.9735107421875,-96.14447021484376,255.8643341064453,593.8302001953125,-121.31414031982422,-394.2635192871094,-431.8034362792969,-170.17807006835938
image_1755774969355269921.png,79.0,60.0,1362.9859406216533,1184.7813485184595,1093.2277074832048,1417.1899393456933,269.75823313844853,232.40859082723387,715.2045288085938,-705.5109252929688,-96.9638214111328,245.9711761474609,574.1572875976562,-121.87361907958984,-393.2803955078125,-423.3717956542969,-162.1002960205078
image_1755774969420697553.png,76.0,69.0,1375.4501165993759,1131.9188582845998,1144.3796388299136,1263.7341453055672,231.0704777694623,131.8152870209674,713.5616455078125,-747.5625610351562,-98.74225616455078,227.1368103027344,539.004150390625,-123.1419448852539,-394.361083984375,-407.030029296875,-147.04502868652344
image_1755774969454687515.png,89.0,67.0,1382.1791719631542,1104.7512501426982,922.7212696608424,1297.8354328700395,459.4579023023118,193.08418272734139,712.1104125976562,-770.76611328125,-99.52843475341795,217.5465545654297,519.9026489257812,-123.98184204101562,-396.7162780761719,-398.3328857421875,-138.85565185546875
image_1755774969488684088.png,82.0,67.0,1382.5253193138562,1078.4090156242728,1042.075776136496,1297.8354328700395,340.4495431773603,219.42641724576674,710.7203369140625,-786.7070922851562,-100.0812759399414,207.3292388916016,500.9161682128906,-124.74740600585938,-399.82232666015625,-390.3374328613281,-131.05137634277344
image_1755774969522213569.png,87.0,62.0,1379.7072630168311,1056.8912464948132,956.8225572253148,1383.0886517812207,422.88470579151635,326.1974052864075,709.6439208984375,-795.9906005859375,-100.50627136230467,197.67210388183597,485.2107849121094,-125.34200286865234,-403.442626953125,-384.087890625,-124.4088363647461
image_1755774969587328220.png,76.0,56.0,1374.1113942681213,1032.290173134361,1144.3796388299136,1485.3925144746381,229.73175543820776,453.102341340277,708.8160400390625,-803.6458740234375,-100.85491180419922,185.70294189453125,466.9975891113281,-125.96222686767578,-409.0962524414063,-376.7066955566406,-116.3024444580078
image_1755774969655503976.png,88.0,62.0,1363.5763769220578,1009.8931840906367,939.7719134430786,1383.0886517812207,423.8044634789792,373.195467690584,708.5363159179688,-805.4303588867188,-100.89562225341795,174.1928253173828,449.0885009765625,-126.58061981201172,-415.5064392089844,-370.7523498535156,-108.5340576171875
image_1755774969687194554.png,81.0,57.0,1351.5994487850717,989.2106160367373,1059.1264199187324,1468.3418706924022,292.4730288663393,479.13125465566486,708.5471801757812,-805.2302856445312,-100.8353271484375,162.44293212890625,431.1318054199219,-127.13785552978516,-422.8186340332031,-366.3683776855469,-100.868408203125
image_1755774969754058165.png,87.0,70.0,1341.8498531465175,972.6904289166462,956.8225572253148,1246.683501523331,385.0272959212027,273.9930726066848,708.590087890625,-805.1539306640625,-100.87368774414062,152.5834503173828,416.0821838378906,-127.82498168945312,-429.17095947265625,-363.4615783691406,-94.17418670654295
image_1755774969787160406.png,87.0,65.0,1331.9367204345124,956.8225572253151,956.8225572253148,1331.9367204345122,375.1141632091976,375.11416320919705,708.5826416015625,-805.1431884765625,-100.8412857055664,142.88404846191406,400.6928405761719,-128.37144470214844,-435.8971862792969,-361.2268981933594,-87.42989349365234
image_1755774969854424127.png,85.0,61.0,1323.1245512933272,941.204603199378,990.9238447897874,1400.1392955634572,332.2007065035398,458.9346923640792,708.6056518554688,-805.1493530273438,-100.84258270263672,132.5864715576172,386.0099487304688,-128.96017456054688,-439.2168273925781,-361.5909423828125,-84.21472930908203
image_1755774969921554293.png,88.0,64.0,1316.2585610325712,928.4341162515317,939.7719134430786,1348.9873642167483,376.4866475894926,420.55324796521666,708.5927734375,-805.195556640625,-100.87203216552734,123.86920928955078,374.0563049316406,-129.44358825683594,-438.9405822753906,-364.3440246582031,-83.9412841796875
image_1755774969954028647.png,69.0,59.0,1305.712551361841,911.2045288027529,1263.7341453055672,1434.2405831279295,41.9784060562738,523.0360543251767,708.5888671875,-805.1748046875,-100.88573455810548,111.95038604736328,356.2500915527344,-130.16488647460938,-437.2323303222656,-370.8620300292969,-84.4133529663086
image_1755774969989147958.png,94.0,77.0,1297.5001658054584,899.0690141989311,837.4680507496612,1127.3289950476772,460.03211505579725,228.25998084874607,708.5968017578125,-805.1681518554688,-100.87484741210938,101.48358154296876,341.53155517578125,-130.89678955078125,-436.2319946289063,-379.0148010253906,-84.90373229980469
image_1755774970054068869.png,95.0,77.0,1291.0008233851086,890.3795539084144,820.417406967425,1127.3289950476772,470.58341641768357,236.94944113926272,708.5968017578125,-805.1641845703125,-100.85494995117188,93.55387878417967,329.9152526855469,-131.53646850585938,-435.11810302734375,-386.52154541015625,-85.30945587158203
image_1755774970087162777.png,97.0,78.0,1283.3817910413145,880.006109799823,786.3161194029524,1110.278351265441,497.0656716383621,230.27224146561798,708.5936889648438,-805.155517578125,-100.87151336669922,82.87718200683594,315.3567199707031,-132.1692657470703,-432.8131103515625,-397.7171020507813,-85.82190704345703
image_1755774970155227460.png,84.0,68.0,1276.985565960755,871.2153160612291,1007.9744885720236,1280.7847890878033,269.01107738873134,409.5694730265742,708.6006469726562,-805.1552124023438,-100.86801147460938,71.4463119506836,301.5184020996094,-132.81585693359375,-430.7083435058594,-410.4203796386719,-86.41104888916016
